nr;kuenstler_id;kuenstler;theoretiker_id;theoretiker;text;frage
11;agnes-martin;Agnes Martin;elena-esposito;Elena Esposito;Agnes Martin stabilisiert das Sehen durch Raster, Wiederholung und minimale Abweichung. Elena Esposito untersucht, wie Kommunikation mit einer Zukunft umgeht, die noch nicht existiert, aber durch Erwartungen, Wahrscheinlichkeiten und Prognosen gegenwärtig wirksam wird. Martins Raster scheint zunächst das Gegenteil zu tun: Es reduziert Möglichkeiten auf eine fast unveränderliche Ordnung. Doch gerade diese Stabilität macht kleinste Veränderungen der Wahrnehmung bemerkbar. Bei Esposito stabilisieren Modelle Erwartungen, ohne die kommende Gegenwart festlegen zu können. In beiden Fällen schafft eine Ordnung Bedingungen dafür, dass etwas erscheinen kann, das in ihr selbst noch nicht enthalten ist.;Wie viel Ordnung braucht das Unvorhersehbare, damit es überhaupt als Veränderung erscheinen kann?
12;agnes-martin;Agnes Martin;judith-butler;Judith Butler;"Agnes Martin wiederholt Linien und Raster; Judith Butler untersucht, wie Normen durch Wiederholung wirksam werden. In beiden Fällen erzeugt Wiederholung Stabilität, ohne jemals einfach dasselbe hervorzubringen. Bei Butler kann eine Norm nur fortbestehen, indem sie immer wieder vollzogen wird, und gerade darin liegt die Möglichkeit ihrer Verschiebung. Martins Raster scheint unveränderlich, wird aber mit jedem Blick neu wahrgenommen und in jeder Ausführung materiell verschieden. Der entscheidende Unterschied liegt im Ort dieser Wiederholung: Bei Butler organisiert sie soziale Lesbarkeit, bei Martin eine Wahrnehmungssituation.";Wann stabilisiert Wiederholung eine Ordnung, und wann beginnt sie gerade durch ihre Wiederholung zu kippen?
13;hanne-darboven;Hanne Darboven;niklas-luhmann;Niklas Luhmann;"Hanne Darboven schreibt Zeit in Zahlen, Daten, Reihen und Blätter ein. Niklas Luhmann beschreibt Zeit dagegen nicht als etwas, das irgendwo gespeichert werden könnte: Operationen geschehen und verschwinden; nur gegenwärtige Operationen können an vergangene anschließen. Darbovens gewaltige Anordnungen scheinen vergangene Zeit räumlich aufzubewahren. Doch das Archiv wird selbst nur gegenwärtig, indem jemand liest, zählt, betrachtet oder weiterblättert. Die Stelle auf dem Blatt ist wiederauffindbar; der Moment ihrer Herstellung ist es nicht. Damit geraten Speicherung und Wiederkehr auseinander.";Was bewahren wir eigentlich, wenn wir sagen, dass eine Vergangenheit gespeichert wurde?
14;eva-hesse;Eva Hesse;michel-foucault;Michel Foucault;"Eva Hesse bringt serielle Formen hervor, deren Materialien altern, absacken, verfärben und zerfallen können. Michel Foucault untersucht Ordnungen, die Körper, Dinge und Aussagen auf bestimmte Stellen verteilen und dadurch sichtbar und vergleichbar machen. Hesses Arbeiten scheinen zunächst selbst solche Ordnungen anzubieten: Reihen, Wiederholungen, Abstände. Doch ihr Material hält sich nicht zuverlässig an die Ordnung, die ihm gegeben wurde. Was als räumliches System erscheint, beginnt eine eigene Geschichte zu entwickeln. Foucault macht sichtbar, wie Ordnungen Körper formen; Hesse lässt fragen, was geschieht, wenn Material auf seine Ordnung mit Alterung, Schwerkraft und Verformung antwortet.";Wie lange gehört ein Körper zu einer Ordnung, deren Form er nicht mehr einhält?
15;marina-abramovic;Marina Abramović;susan-leigh-star;Susan Leigh Star;Marina Abramović reduziert Performances häufig auf wenige Regeln, einen bestimmten Ort und einen anwesenden Körper. Susan Leigh Star untersucht Infrastrukturen und Grenzobjekte, die Zusammenarbeit ermöglichen, obwohl Beteiligte sie unterschiedlich verstehen. Auch eine Performance benötigt eine solche Infrastruktur: Raum, Institution, Zeitplan, Publikum, Regeln und Dokumentation müssen zusammenkommen, bevor die scheinbar unmittelbare Begegnung stattfinden kann. Doch während Infrastruktur besonders gut funktioniert, wenn sie unsichtbar wird, macht Abramović Anwesenheit demonstrativ sichtbar. Der Körper im Zentrum kann dadurch die vielen Bedingungen verdecken, die seine Anwesenheit überhaupt organisieren.;Was sehen wir, wenn wir auf die Infrastruktur der Performance schauen?
16;rebecca-horn;Rebecca Horn;claude-shannon;Claude Shannon;"Rebecca Horn erweitert Körper durch Federn, Stäbe, Masken und Maschinen und verändert damit Reichweite, Abstand und Berührung. Claude Shannon abstrahiert Kommunikation dagegen zu Nachricht, Kanal, Signal und statistischer Auswahl. Der Körper verschwindet aus seinem Modell fast vollständig. Horn könnte man zunächst als Umkehrung dieser Abstraktion lesen: Bei ihr wird der Kanal selbst körperlich. Eine Verlängerung des Arms überträgt nicht einfach eine Bewegung von A nach B; sie verändert, was der Körper erreichen und wahrnehmen kann. Die materielle Form des Kanals wird zum Teil des Ereignisses.";Was bleibt vom Begriff der Übertragung, wenn der Kanal verändert, was überhaupt wahrgenommen werden kann?
17;mona-hatoum;Mona Hatoum;elena-esposito;Elena Esposito;Mona Hatoum nimmt vertraute Dinge und Räume und verändert ihre Maßstäbe, Materialien oder Beziehungen so, dass aus Vertrautheit Unsicherheit wird. Elena Esposito untersucht, wie gegenwärtige Kommunikation Erwartungen über eine unbekannte Zukunft erzeugt. Beides beginnt mit etwas Bekanntem: einem Haushaltsgegenstand, einem Datenbestand, einer bisherigen Regelmäßigkeit. Hatoum verändert die Situation so, dass das Bekannte plötzlich keine zuverlässige Orientierung mehr bietet. Prognosen tun fast das Gegenteil: Sie benutzen Bekanntes, um Unsicherheit wieder handhabbar zu machen. Hier stehen zwei gegensätzliche Bewegungen nebeneinander. Hatoum erzeugt Unsicherheit aus vertrauten Formen. Esposito fragt, wie aus Ungewissheit Erwartungen entstehen.;Was nehmen wir wahr, wenn die Formen, mit denen wir Unsicherheit reduzieren, selbst unsicher werden?
18;on-kawara;On Kawara;michel-foucault;Michel Foucault;On Kawara malt ein Datum und macht einen vergangenen Tag als eindeutig bezeichnete Stelle wiederauffindbar. Michel Foucault untersucht Archive als Ordnungen, die nicht einfach alles Vergangene speichern, sondern bestimmen, was als Aussage auffindbar, unterscheidbar und zuordenbar werden kann. Kawaras Datumsbilder wirken wie elementare Archive: Ein Tag bekommt eine Adresse. Zugleich verschwindet fast alles, was an diesem Tag geschehen ist. Gerade die äußerste Präzision des Datums erzeugt eine enorme Leerstelle. Das Archiv bewahrt damit nicht Vergangenheit selbst, sondern eine Ordnung, unter der etwas Vergangenes wieder adressiert werden kann.;Wie viel muss vergessen werden, damit ein vergangener Moment eine eindeutige Adresse bekommen kann?
19;donald-judd;Donald Judd;henri-bergson;Henri Bergson;Donald Judd organisiert Körper, Abstände und Wiederholungen mit großer räumlicher Präzision. Henri Bergson misstraut genau jener Operation, durch die Zeit wie eine Reihe nebeneinanderliegender Punkte behandelt wird. Für ihn ist Dauer keine Folge austauschbarer Stellen, sondern qualitative Veränderung, in der frühere Momente in späteren fortwirken. Judds serielle Objekte scheinen zunächst auf der anderen Seite zu stehen: eins neben dem anderen, messbar getrennt. Doch ein Betrachter kann diese Reihe niemals gleichzeitig aus allen Positionen wahrnehmen. Er muss sich bewegen, erinnern und vorherige Ansichten in die nächste mitnehmen.;Entsteht aus einer vollkommen räumlichen Ordnung zwangsläufig eine Zeit, sobald jemand beginnt, sie wahrzunehmen?
20;william-kentridge;William Kentridge;claude-shannon;Claude Shannon;"William Kentridge zeichnet, löscht und zeichnet weiter; Claude Shannon beschreibt Information als Auswahl aus einem definierten Raum möglicher Nachrichten. Bei Shannon muss klar sein, welche Alternativen möglich sind, damit Informationsgehalt überhaupt berechnet werden kann. Kentridges Blatt scheint einen solchen Möglichkeitsraum gerade nicht bereitzuhalten. Jede Zeichnung verändert die Oberfläche, auf der die nächste entstehen wird; selbst das Löschen stellt den früheren Zustand nicht wieder her. Die Möglichkeiten des nächsten Strichs hängen damit von einer irreversiblen Geschichte des Materials ab. Was mathematisch als Auswahl zwischen Möglichkeiten erscheint, wird bei Kentridge zu einer Auswahl, die ihren eigenen Möglichkeitsraum verändert.";Wie lässt sich eine Möglichkeit bestimmen, wenn jede Entscheidung verändert, was danach überhaupt noch möglich ist?
21;agnes-martin;Agnes Martin;n-katherine-hayles;N. Katherine Hayles;Agnes Martin erzeugt Bilder aus Linien, Abständen und Wiederholungen, deren Unterschiede oft erst bei genauer Wahrnehmung hervortreten. N. Katherine Hayles untersucht, was verloren geht, wenn Information unabhängig von ihrem materiellen Träger gedacht wird. Martins Raster könnte problemlos als abstraktes Muster beschrieben und als Folge von Abständen oder Koordinaten gespeichert werden. Doch damit wäre noch nicht erklärt, was geschieht, wenn Bleistift, Farbe, Leinwand, Licht und ein wahrnehmender Körper zusammentreffen. Gerade die kleinen Unregelmäßigkeiten ihrer Linien zeigen, dass eine Struktur nicht mit ihrer materiellen Verkörperung identisch ist. Hayles verschiebt damit die Frage vom Muster zu dessen Verkörperung, Martin vom Raster zu dessen Wahrnehmung.;Was geht verloren, wenn eine wahrgenommene Form vollständig als Information beschrieben werden kann?
22;mona-hatoum;Mona Hatoum;claude-shannon;Claude Shannon;"Mona Hatoum verändert vertraute Gegenstände und räumliche Situationen so, dass Orientierung in Irritation umschlagen kann. Claude Shannon muss für seine Informationstheorie dagegen gerade festlegen, welche möglichen Signale unterschieden und übertragen werden können. Ein Kanal funktioniert nur, wenn Unterschiede innerhalb eines definierten Systems bestimmbar sind. Hatoums künstlerische Operation setzt an einer anderen Stelle an: Nicht notwendig das Signal verändert sich, sondern die Situation, innerhalb derer etwas als vertraut, gefährlich, nah oder fern wahrgenommen wird. Shannon kann messen, dass ein Unterschied übertragen wurde; damit ist noch nicht bestimmt, was dieser Unterschied für einen Körper bedeutet.";Wo beginnt Bedeutung, wenn ein technisch bestimmbarer Unterschied plötzlich eine körperliche Situation verändert?
23;robert-smithson;Robert Smithson;hannah-arendt;Hannah Arendt;"Robert Smithson verschiebt Material zwischen Ort und Ausstellung und macht mit Site und Nonsite die Differenz zwischen einer Stelle und ihrer Repräsentation selbst zum Gegenstand; zugleich beschäftigen ihn Verschiebung und Entropie. Hannah Arendt interessiert sich dafür, wie eine gemeinsame Welt entsteht, in der Menschen und Dinge erscheinen und Beziehungen Dauer gewinnen können. Bei Smithson lässt sich eine Stelle jedoch gerade nicht vollständig in diesen gemeinsamen Raum überführen: Der Stein im Museum ist am Ort seiner Ausstellung und verweist zugleich auf einen anderen Ort. Die Welt besteht dann nicht einfach aus Dingen an ihren Stellen, sondern auch aus Beziehungen zwischen anwesenden und abwesenden Stellen. Arendts Raum des Erscheinens bekommt durch Smithson gewissermaßen eine geologische Störung.";Kann etwas gemeinsam gegenwärtig sein, dessen entscheidender Ort abwesend bleibt?
24;roman-opalka;Roman Opalka;lucy-suchman;Lucy Suchman;"Roman Opalkas Zahlenfolge besitzt einen denkbar einfachen Plan: Auf die nächste Zahl folgt die nächste. Lucy Suchman unterscheidet jedoch zwischen Plänen und situiertem Handeln: Eine Ordnung kann Handlung orientieren, ohne ihren konkreten Vollzug vorwegzunehmen. Bei Opalka ist die symbolische Fortsetzung exakt bestimmbar, die Ausführung aber an Hand, Aufmerksamkeit, Müdigkeit und Lebenszeit gebunden. Der Plan weiß, welche Zahl folgen soll; er weiß nicht, unter welchen körperlichen Bedingungen sie gemalt werden wird. Damit fallen die Vorhersagbarkeit der Reihe und die Offenheit des Ereignisses auseinander.";Wie viel Zukunft kann ein Plan enthalten, wenn seine Ausführung erst in einer Situation wirklich wird?
25;sol-lewitt;Sol LeWitt;george-spencer-brown;George Spencer-Brown;"George Spencer-Brown beginnt mit einer Unterscheidung: Eine Grenze wird gezogen, und damit entstehen zwei Seiten. Sol LeWitt beginnt häufig ebenfalls mit einer formalen Festlegung, einer Instruktion, einem Raster, bestimmten Linien oder Kombinationsregeln. Entscheidend wird, was mit dieser Festlegung in der Ausführung geschieht. LeWitt betont selbst, dass verschiedene Ausführende dieselbe Anweisung verschieden verstehen und dass selbst dieselbe Person denselben Plan nicht zweimal identisch realisiert; Plan und Ausführung bleiben dennoch aufeinander bezogen. Spencer-Brown macht die Operation der Unterscheidung formal bestimmbar, während LeWitt beobachten lässt, was mit einer Bestimmung geschieht, sobald sie ausgeführt werden muss. Die Regel stabilisiert einen Möglichkeitsraum, aber sie enthält ihre konkrete Aktualisierung nicht vollständig.";Wo liegt die Form: in der Regel oder in ihrer Ausführung?
26;agnes-martin;Agnes Martin;gilles-deleuze;Gilles Deleuze;Agnes Martin wiederholt Raster, Linien und Abstände, ohne daraus identische Bilder zu machen. Gilles Deleuze stellt die Wiederholung gerade dort gegen das Gleiche: Was wiederkehrt, kehrt unter veränderten Bedingungen zurück. Martins Arbeiten prüfen diesen Gedanken auf überraschend direkte Weise. Das Raster erzeugt eine starke Identität der Ordnung, während Material, Handbewegung, Licht und Wahrnehmung Unterschiede hervorbringen. Ohne die wiedererkennbare Ordnung wären diese Unterschiede jedoch kaum als Unterschiede derselben Sache erfahrbar. Martin lässt damit offen, ob Differenz der Wiederholung vorausgeht oder durch sie erst sichtbar wird.;Wie viel Gleichheit braucht eine Differenz, um als Differenz wahrgenommen werden zu können?
27;hanne-darboven;Hanne Darboven;donna-haraway;Donna Haraway;Hanne Darboven übersetzt Kalenderzeit in Zahlen, Schrift, Reihen und riesige räumliche Anordnungen. Donna Haraway besteht darauf, dass Wissen niemals von nirgendwo kommt, sondern an Körper, Positionen und konkrete Situationen gebunden bleibt. Darbovens Notationen scheinen Zeit zunächst gerade von solchen Situationen zu lösen: Ein Datum erhält eine abstrakte, wiederauffindbare Stelle. Doch jedes Blatt wurde an einem bestimmten Ort und Moment geschrieben und wird erneut von einem bestimmten Körper gelesen. Die universelle Kalenderordnung und der situierte Vollzug fallen nicht zusammen.;Was verändert sich, wenn ein Datum auch einen Ort des Schreibens hat?
28;hanne-darboven;Hanne Darboven;gilles-deleuze;Gilles Deleuze;Hanne Darboven wiederholt Zahlen, Daten und Schreiboperationen über Jahrzehnte. Gilles Deleuze würde gerade in einer solchen Wiederholung nach der Produktion von Differenz fragen. Darbovens Verfahren ist streng genug, damit Abweichungen nicht als bloße Willkür erscheinen. Jeder neue Eintrag gehört zur selben Operation und nimmt dennoch eine Stelle ein, die kein anderer Eintrag besetzen kann. Das Werk macht Differenz damit nicht durch spektakuläre Veränderung sichtbar, sondern durch beinahe zwanghafte Wiederkehr. Je ähnlicher die Operation, desto deutlicher tritt hervor, dass kein Moment zurückkehrt.;Braucht Wiederholung eine Regel, damit sie überhaupt Differenz erzeugen kann?
29;hanne-darboven;Hanne Darboven;lucy-suchman;Lucy Suchman;"Hanne Darboven organisiert ihre Arbeit durch Systeme, Berechnungen und wiederkehrende Verfahren. Lucy Suchman kritisiert die Vorstellung, ein Plan könne schon enthalten, wie eine Handlung tatsächlich ablaufen wird. Ein Plan stellt Ressourcen für eine Situation bereit; handeln muss jemand erst in dieser Situation. Darbovens Arbeiten bringen diese Differenz auf Papier: Die Regel kann fortbestehen, doch jede Seite muss tatsächlich geschrieben werden. Zwischen System und Blatt liegt Zeit, Arbeit und ein Körper.";Was fügt der Vollzug einer Regel hinzu, das in der Regel selbst nicht vorhanden sein kann?
30;hanne-darboven;Hanne Darboven;wendy-hui-kyong-chun;Wendy Hui Kyong Chun;"Hanne Darboven erzeugt durch fortgesetztes Schreiben Archive ihrer eigenen Operationen. Wendy Hui Kyong Chun untersucht digitale Kulturen, in denen Systeme durch Updates und Gewohnheiten zugleich verändert und stabilisiert werden. Beide verbinden Fortsetzung mit Wiederholung, aber unter beinahe entgegengesetzten materiellen Bedingungen. Darbovens vergangene Operationen bleiben als Blätter sichtbar; digitale Systeme überschreiben frühere Zustände häufig gerade dadurch, dass sie sich aktualisieren. Das Neue kann so zur Technik werden, mit der Kontinuität hergestellt wird.";Wie erinnern Systeme, die sich ständig erneuern?
31;eva-hesse;Eva Hesse;donna-haraway;Donna Haraway;Eva Hesses Arbeiten lassen sich formal beschreiben, aber ihre Materialien verhindern einen vollkommen distanzierten Blick. Donna Haraway versteht Wissen als situiert und damit an konkrete Bedingungen des Beobachtens gebunden. Latex, Fiberglas, Schwerkraft und Alterung sind bei Hesse keine Nebensachen, die man aus der Beschreibung herausrechnen könnte. Sie verändern mit, was an der Form überhaupt erkennbar wird.;Was verändert Material an unserem Standpunkt?
32;eva-hesse;Eva Hesse;gilbert-simondon;Gilbert Simondon;Eva Hesses Skulpturen wirken häufig weniger wie abgeschlossene Körper als wie vorläufig stabilisierte materielle Zustände. Gilbert Simondon versteht Individuen ebenfalls nicht als fertige Einheiten, sondern als Ergebnisse fortgesetzter Individuation. Diese Nähe darf jedoch nicht darüber hinwegtäuschen, dass Hesses Werk als dieses Werk identifizierbar bleiben muss, selbst wenn sein Material altert. Der Prozess trifft damit auf eine Grenze, die Simondons Prozessdenken besonders interessant macht: Museen müssen entscheiden, welche Veränderungen noch zur Geschichte eines Werkes gehören und welche seine Identität gefährden.;Wann ist Veränderung die Fortsetzung einer Form, und wann entsteht etwas anderes?
33;eva-hesse;Eva Hesse;heinz-von-foerster;Heinz von Foerster;Eva Hesse wiederholt Formen, ohne die Unterschiede ihrer materiellen Ausführung zu beseitigen. Heinz von Foerster untersucht, wie rekursive Prozesse stabile Eigenformen hervorbringen können. Hesses Serien scheinen solche Stabilität anzubieten und unterlaufen sie zugleich. Eine Form kehrt wieder, aber Material, Position und Wahrnehmung verhindern vollkommene Identität. Stabilität wäre dann keine Unveränderlichkeit, sondern etwas, das trotz Veränderung wiedererkannt wird.;Wie viel Veränderung kann eine Form aufnehmen und dennoch als dieselbe wiederkehren?
34;eva-hesse;Eva Hesse;n-katherine-hayles;N. Katherine Hayles;N. Katherine Hayles kritisiert die Vorstellung, Information könne unabhängig von ihrer Verkörperung bestehen. Eva Hesses Arbeiten treiben diese Frage ins Materielle: Eine Form aus Latex ist nicht einfach dieselbe Information in einem anderen Stoff. Alterung, Elastizität, Transparenz und Schwerkraft gehören zu dem, was wahrgenommen wird. Man könnte Hesses Form digital exakt vermessen und dennoch nicht speichern, was mit ihr über Jahrzehnte geschieht. Hier zeigt sich die Differenz zwischen beschreibbarer Struktur und materieller Eigenzeit.;Welche Eigenschaften eines Werkes können den Träger wechseln, und welche verschwinden genau in diesem Wechsel?
35;louise-bourgeois;Louise Bourgeois;george-spencer-brown;George Spencer-Brown;"George Spencer-Brown beginnt mit einer Grenze, die eine Form in zwei Seiten teilt. Louise Bourgeois baut mit ihren Cells Räume, deren Grenzen zugleich trennen, schützen, einschließen und den Blick hindurchlassen können. Bei Spencer-Brown ist die Grenze eine formale Voraussetzung der Unterscheidung; bei Bourgeois wird sie körperlich erfahren. Man steht vor ihr, geht um sie herum, blickt hinein und bleibt draußen. Die markierte und die unmarkierte Seite bekommen damit Position, Material und Dauer.";Was geschieht mit einer Unterscheidung, wenn ihre Grenze selbst wahrgenommen werden muss?
36;louise-bourgeois;Louise Bourgeois;heinz-von-foerster;Heinz von Foerster;Louise Bourgeois kehrt über Jahrzehnte zu Formen, Erinnerungen und Konflikten zurück, ohne sie einfach zu reproduzieren. Heinz von Foerster beschreibt Rekursion als Operation, deren Resultate wieder zu Bedingungen weiterer Operationen werden können. Bourgeois' Wiederkehr ließe sich in diesem Sinne weniger als Kreislauf denn als rekursive Veränderung verstehen. Ein früheres Werk oder eine Erinnerung wird nicht zurückgeholt, sondern aus einer späteren Gegenwart erneut beobachtet. Die Wiederkehr verändert dadurch auch, was als Vergangenheit erscheint.;Kann man zu etwas zurückkehren, ohne zugleich das zu verändern, zu dem man zurückkehrt?
